locus	primary_accession	accession_version	isolate
QHR63278	QHR63278	QHR63278.1	WIV05
QHR63277	QHR63277	QHR63277.1	WIV05
QHR63276	QHR63276	QHR63276.1	WIV05
QHR63275	QHR63275	QHR63275.1	WIV05
QHR63274	QHR63274	QHR63274.1	WIV05
QHR63273	QHR63273	QHR63273.1	WIV05
QHR63272	QHR63272	QHR63272.1	WIV05
QHR63271	QHR63271	QHR63271.1	WIV05
QHR63269	QHR63269	QHR63269.1	WIV05
QHR63268	QHR63268	QHR63268.1	WIV04
QHR63267	QHR63267	QHR63267.1	WIV04
QHR63266	QHR63266	QHR63266.1	WIV04
QHR63265	QHR63265	QHR63265.1	WIV04
QHR63264	QHR63264	QHR63264.1	WIV04
QHR63263	QHR63263	QHR63263.1	WIV04
QHR63262	QHR63262	QHR63262.1	WIV04
QHR63261	QHR63261	QHR63261.1	WIV04
QHR63259	QHR63259	QHR63259.1	WIV04
QHR63258	QHR63258	QHR63258.1	WIV02
QHR63257	QHR63257	QHR63257.1	WIV02
QHR63256	QHR63256	QHR63256.1	WIV02
QHR63255	QHR63255	QHR63255.1	WIV02
QHR63254	QHR63254	QHR63254.1	WIV02
QHR63253	QHR63253	QHR63253.1	WIV02
QHR63252	QHR63252	QHR63252.1	WIV02
QHR63251	QHR63251	QHR63251.1	WIV02
QHR63249	QHR63249	QHR63249.1	WIV02
QHQ82472	QHQ82472	QHQ82472.1	2019-nCoV/USA-AZ1/2020
QHQ82471	QHQ82471	QHQ82471.1	2019-nCoV/USA-AZ1/2020
QHQ82470	QHQ82470	QHQ82470.1	2019-nCoV/USA-AZ1/2020
QHQ82469	QHQ82469	QHQ82469.1	2019-nCoV/USA-AZ1/2020
QHQ82468	QHQ82468	QHQ82468.1	2019-nCoV/USA-AZ1/2020
QHQ82467	QHQ82467	QHQ82467.1	2019-nCoV/USA-AZ1/2020
QHQ82466	QHQ82466	QHQ82466.1	2019-nCoV/USA-AZ1/2020
QHQ82465	QHQ82465	QHQ82465.1	2019-nCoV/USA-AZ1/2020
QHQ82464	QHQ82464	QHQ82464.1	2019-nCoV/USA-AZ1/2020
QHQ82463	QHQ82463	QHQ82463.1	2019-nCoV/USA-AZ1/2020
QHQ71981	QHQ71981	QHQ71981.1	2019-nCoV/USA-CA2/2020
QHQ71980	QHQ71980	QHQ71980.1	2019-nCoV/USA-CA2/2020
QHQ71979	QHQ71979	QHQ71979.1	2019-nCoV/USA-CA2/2020
QHQ71978	QHQ71978	QHQ71978.1	2019-nCoV/USA-CA2/2020
QHQ71977	QHQ71977	QHQ71977.1	2019-nCoV/USA-CA2/2020
QHQ71976	QHQ71976	QHQ71976.1	2019-nCoV/USA-CA2/2020
QHQ71975	QHQ71975	QHQ71975.1	2019-nCoV/USA-CA2/2020
QHQ71974	QHQ71974	QHQ71974.1	2019-nCoV/USA-CA2/2020
QHQ71973	QHQ71973	QHQ71973.1	2019-nCoV/USA-CA2/2020
QHQ71972	QHQ71972	QHQ71972.1	2019-nCoV/USA-CA2/2020
QHQ71971	QHQ71971	QHQ71971.1	2019-nCoV/USA-CA1/2020
QHQ71970	QHQ71970	QHQ71970.1	2019-nCoV/USA-CA1/2020
